point_id,angle,direction,filename
-Wq89FUiQEZn0ROcktvJag,270,left,pano_-Wq89FUiQEZn0ROcktvJag_h270.jpg
-XYj3XPeyilVLF8m7FfdAg,0,front,pano_-XYj3XPeyilVLF8m7FfdAg_h0.jpg
-XYj3XPeyilVLF8m7FfdAg,90,right,pano_-XYj3XPeyilVLF8m7FfdAg_h90.jpg
-XYj3XPeyilVLF8m7FfdAg,180,back,pano_-XYj3XPeyilVLF8m7FfdAg_h180.jpg
-XYj3XPeyilVLF8m7FfdAg,270,left,pano_-XYj3XPeyilVLF8m7FfdAg_h270.jpg
-Yqv3W8Wu52CDh3sFVdRfA,0,front,pano_-Yqv3W8Wu52CDh3sFVdRfA_h0.jpg
-Yqv3W8Wu52CDh3sFVdRfA,90,right,pano_-Yqv3W8Wu52CDh3sFVdRfA_h90.jpg
-Yqv3W8Wu52CDh3sFVdRfA,180,back,pano_-Yqv3W8Wu52CDh3sFVdRfA_h180.jpg
-Yqv3W8Wu52CDh3sFVdRfA,270,left,pano_-Yqv3W8Wu52CDh3sFVdRfA_h270.jpg
-ZBTdv8Cj2sOihLVlFvUUA,0,front,pano_-ZBTdv8Cj2sOihLVlFvUUA_h0.jpg
-ZBTdv8Cj2sOihLVlFvUUA,90,right,pano_-ZBTdv8Cj2sOihLVlFvUUA_h90.jpg
-ZBTdv8Cj2sOihLVlFvUUA,180,back,pano_-ZBTdv8Cj2sOihLVlFvUUA_h180.jpg
-ZBTdv8Cj2sOihLVlFvUUA,270,left,pano_-ZBTdv8Cj2sOihLVlFvUUA_h270.jpg
-_tZX9cbEkzli2-FM1VjCQ,0,front,pano_-_tZX9cbEkzli2-FM1VjCQ_h0.jpg
-_tZX9cbEkzli2-FM1VjCQ,90,right,pano_-_tZX9cbEkzli2-FM1VjCQ_h90.jpg
-_tZX9cbEkzli2-FM1VjCQ,180,back,pano_-_tZX9cbEkzli2-FM1VjCQ_h180.jpg
-_tZX9cbEkzli2-FM1VjCQ,270,left,pano_-_tZX9cbEkzli2-FM1VjCQ_h270.jpg
-a-XDYrRmJ-cWBQMwjBqTw,0,front,pano_-a-XDYrRmJ-cWBQMwjBqTw_h0.jpg
-a-XDYrRmJ-cWBQMwjBqTw,90,right,pano_-a-XDYrRmJ-cWBQMwjBqTw_h90.jpg
-a-XDYrRmJ-cWBQMwjBqTw,180,back,pano_-a-XDYrRmJ-cWBQMwjBqTw_h180.jpg
-a-XDYrRmJ-cWBQMwjBqTw,270,left,pano_-a-XDYrRmJ-cWBQMwjBqTw_h270.jpg
-cJVNaGdvjM9rMQS-n9_Ew,0,front,pano_-cJVNaGdvjM9rMQS-n9_Ew_h0.jpg
-cJVNaGdvjM9rMQS-n9_Ew,90,right,pano_-cJVNaGdvjM9rMQS-n9_Ew_h90.jpg
-cJVNaGdvjM9rMQS-n9_Ew,180,back,pano_-cJVNaGdvjM9rMQS-n9_Ew_h180.jpg
-cJVNaGdvjM9rMQS-n9_Ew,270,left,pano_-cJVNaGdvjM9rMQS-n9_Ew_h270.jpg
-cYru2-9qw6A_9rezWA29A,0,front,pano_-cYru2-9qw6A_9rezWA29A_h0.jpg
-cYru2-9qw6A_9rezWA29A,90,right,pano_-cYru2-9qw6A_9rezWA29A_h90.jpg
-cYru2-9qw6A_9rezWA29A,180,back,pano_-cYru2-9qw6A_9rezWA29A_h180.jpg
-cYru2-9qw6A_9rezWA29A,270,left,pano_-cYru2-9qw6A_9rezWA29A_h270.jpg
-dbDjiY7ck96w9WncgPHnw,0,front,pano_-dbDjiY7ck96w9WncgPHnw_h0.jpg
-dbDjiY7ck96w9WncgPHnw,90,right,pano_-dbDjiY7ck96w9WncgPHnw_h90.jpg
-dbDjiY7ck96w9WncgPHnw,180,back,pano_-dbDjiY7ck96w9WncgPHnw_h180.jpg
-dbDjiY7ck96w9WncgPHnw,270,left,pano_-dbDjiY7ck96w9WncgPHnw_h270.jpg
-gTHdBBm10WGOyeeJbsduw,0,front,pano_-gTHdBBm10WGOyeeJbsduw_h0.jpg
-gTHdBBm10WGOyeeJbsduw,90,right,pano_-gTHdBBm10WGOyeeJbsduw_h90.jpg
-gTHdBBm10WGOyeeJbsduw,180,back,pano_-gTHdBBm10WGOyeeJbsduw_h180.jpg
-gTHdBBm10WGOyeeJbsduw,270,left,pano_-gTHdBBm10WGOyeeJbsduw_h270.jpg
-iwl8-kqLWj5FnvzaltquA,0,front,pano_-iwl8-kqLWj5FnvzaltquA_h0.jpg
-iwl8-kqLWj5FnvzaltquA,90,right,pano_-iwl8-kqLWj5FnvzaltquA_h90.jpg
-iwl8-kqLWj5FnvzaltquA,180,back,pano_-iwl8-kqLWj5FnvzaltquA_h180.jpg
-iwl8-kqLWj5FnvzaltquA,270,left,pano_-iwl8-kqLWj5FnvzaltquA_h270.jpg
-jRyYMyshs44tlScbwHbwA,0,front,pano_-jRyYMyshs44tlScbwHbwA_h0.jpg
-jRyYMyshs44tlScbwHbwA,90,right,pano_-jRyYMyshs44tlScbwHbwA_h90.jpg
-jRyYMyshs44tlScbwHbwA,180,back,pano_-jRyYMyshs44tlScbwHbwA_h180.jpg
-jRyYMyshs44tlScbwHbwA,270,left,pano_-jRyYMyshs44tlScbwHbwA_h270.jpg
-jpe2J2CKW92-VhGLM4fsA,0,front,pano_-jpe2J2CKW92-VhGLM4fsA_h0.jpg
-jpe2J2CKW92-VhGLM4fsA,90,right,pano_-jpe2J2CKW92-VhGLM4fsA_h90.jpg
-jpe2J2CKW92-VhGLM4fsA,180,back,pano_-jpe2J2CKW92-VhGLM4fsA_h180.jpg
-jpe2J2CKW92-VhGLM4fsA,270,left,pano_-jpe2J2CKW92-VhGLM4fsA_h270.jpg
-kwZ0DdoPR02HM-1B_tn-g,0,front,pano_-kwZ0DdoPR02HM-1B_tn-g_h0.jpg
-kwZ0DdoPR02HM-1B_tn-g,90,right,pano_-kwZ0DdoPR02HM-1B_tn-g_h90.jpg
-kwZ0DdoPR02HM-1B_tn-g,180,back,pano_-kwZ0DdoPR02HM-1B_tn-g_h180.jpg
-kwZ0DdoPR02HM-1B_tn-g,270,left,pano_-kwZ0DdoPR02HM-1B_tn-g_h270.jpg
-lL1d4HMCjA3nEDqsFi2eg,0,front,pano_-lL1d4HMCjA3nEDqsFi2eg_h0.jpg
-lL1d4HMCjA3nEDqsFi2eg,90,right,pano_-lL1d4HMCjA3nEDqsFi2eg_h90.jpg
-lL1d4HMCjA3nEDqsFi2eg,180,back,pano_-lL1d4HMCjA3nEDqsFi2eg_h180.jpg
-lL1d4HMCjA3nEDqsFi2eg,270,left,pano_-lL1d4HMCjA3nEDqsFi2eg_h270.jpg
-mfAEj5a4C_eYZXmoqKeCg,0,front,pano_-mfAEj5a4C_eYZXmoqKeCg_h0.jpg
-mfAEj5a4C_eYZXmoqKeCg,90,right,pano_-mfAEj5a4C_eYZXmoqKeCg_h90.jpg
-mfAEj5a4C_eYZXmoqKeCg,180,back,pano_-mfAEj5a4C_eYZXmoqKeCg_h180.jpg
-mfAEj5a4C_eYZXmoqKeCg,270,left,pano_-mfAEj5a4C_eYZXmoqKeCg_h270.jpg
-nYdxMh1y7eeQ2BPn53dQg,0,front,pano_-nYdxMh1y7eeQ2BPn53dQg_h0.jpg
-nYdxMh1y7eeQ2BPn53dQg,90,right,pano_-nYdxMh1y7eeQ2BPn53dQg_h90.jpg
-nYdxMh1y7eeQ2BPn53dQg,180,back,pano_-nYdxMh1y7eeQ2BPn53dQg_h180.jpg
-nYdxMh1y7eeQ2BPn53dQg,270,left,pano_-nYdxMh1y7eeQ2BPn53dQg_h270.jpg
-ozCKJDBMOZJ6O_5x6OPFA,0,front,pano_-ozCKJDBMOZJ6O_5x6OPFA_h0.jpg
-ozCKJDBMOZJ6O_5x6OPFA,90,right,pano_-ozCKJDBMOZJ6O_5x6OPFA_h90.jpg
-ozCKJDBMOZJ6O_5x6OPFA,180,back,pano_-ozCKJDBMOZJ6O_5x6OPFA_h180.jpg
-ozCKJDBMOZJ6O_5x6OPFA,270,left,pano_-ozCKJDBMOZJ6O_5x6OPFA_h270.jpg
-r2MQ4zORLQywb_bJHIMMw,0,front,pano_-r2MQ4zORLQywb_bJHIMMw_h0.jpg
-r2MQ4zORLQywb_bJHIMMw,90,right,pano_-r2MQ4zORLQywb_bJHIMMw_h90.jpg
-r2MQ4zORLQywb_bJHIMMw,180,back,pano_-r2MQ4zORLQywb_bJHIMMw_h180.jpg
-r2MQ4zORLQywb_bJHIMMw,270,left,pano_-r2MQ4zORLQywb_bJHIMMw_h270.jpg
-tF58I3iXdwUcVgjk2GX2w,0,front,pano_-tF58I3iXdwUcVgjk2GX2w_h0.jpg
-tF58I3iXdwUcVgjk2GX2w,90,right,pano_-tF58I3iXdwUcVgjk2GX2w_h90.jpg
-tF58I3iXdwUcVgjk2GX2w,180,back,pano_-tF58I3iXdwUcVgjk2GX2w_h180.jpg
-tF58I3iXdwUcVgjk2GX2w,270,left,pano_-tF58I3iXdwUcVgjk2GX2w_h270.jpg
-tJHAn-grGigyHHfsepJ-Q,0,front,pano_-tJHAn-grGigyHHfsepJ-Q_h0.jpg
-tJHAn-grGigyHHfsepJ-Q,90,right,pano_-tJHAn-grGigyHHfsepJ-Q_h90.jpg
-tJHAn-grGigyHHfsepJ-Q,180,back,pano_-tJHAn-grGigyHHfsepJ-Q_h180.jpg
-tJHAn-grGigyHHfsepJ-Q,270,left,pano_-tJHAn-grGigyHHfsepJ-Q_h270.jpg
-tSAdI-32EOnoDkKQtUQfw,0,front,pano_-tSAdI-32EOnoDkKQtUQfw_h0.jpg
-tSAdI-32EOnoDkKQtUQfw,90,right,pano_-tSAdI-32EOnoDkKQtUQfw_h90.jpg
-tSAdI-32EOnoDkKQtUQfw,180,back,pano_-tSAdI-32EOnoDkKQtUQfw_h180.jpg
-tSAdI-32EOnoDkKQtUQfw,270,left,pano_-tSAdI-32EOnoDkKQtUQfw_h270.jpg
